ID_PROD_UNID_FAT,QTD_FINAL_V33,NEC_DIRETA_PCS_V33,NEC_ESTRUTURAL_BRUTA_PCS_V33,ESTOQUE_ESTRUTURAL_CONSUMIDO_PCS_V33,NEC_ESTRUTURAL_PCS_V33,NEC_TOTAL_PCS_V33,QTD_PRODUZIR_DIRETA_SOLVER_V33,QTD_PRODUZIR_ESTRUTURAL_SOLVER_V33,DIF_FALTA_PAI_FILHO_V33,DIF_SOBRA_PAI_FILHO_V33
AGO26|CENTRO-OESTE|0111,190.0,190.0,0.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0113,2514.066243801931,2825.0,0.0,0.0,0.0,2825.0,2514.066243801931,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1225,36.92381606039808,370.0,0.0,0.0,0.0,370.0,36.92381606039808,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1226,69.85586822237475,700.0,0.0,0.0,0.0,700.0,69.85586822237475,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1227,4.528352880363858,310.0,0.0,0.0,0.0,310.0,4.528352880363858,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1228,304.5682501793111,20850.0,0.0,0.0,0.0,20850.0,304.5682501793111,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1231,1095950.0,1095950.0,0.0,0.0,0.0,1095950.0,1095950.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1234,2950.0,2950.0,0.0,0.0,0.0,2950.0,2950.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1236,94600.0,94600.0,0.0,0.0,0.0,94600.0,94600.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|1237,53900.0,53900.0,0.0,0.0,0.0,53900.0,53900.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|2936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|2937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
